,"Frequency, Hz","PSD, V_rms/sqrt(Hz)"
372,93250.0,1.29464e-07
373,93500.0,2.816e-07
374,93750.0,1.93802e-07
375,94000.0,6.02502e-08
376,94250.0,3.25054e-07
377,94500.0,9.76914e-08
378,94750.0,1.58722e-07
379,95000.0,6.02502e-08
380,95250.0,1.71687e-07
381,95500.0,1.39283e-07
382,95750.0,2.51671e-07
383,96000.0,1.53232e-07
384,96250.0,4.61879e-07
385,96500.0,2.909e-07
386,96750.0,2.28916e-07
387,97000.0,1.00441e-07
388,97250.0,2.69296e-07
389,97500.0,8.73085e-08
390,97750.0,1.33649e-07
391,98000.0,1.13455e-07
392,98250.0,3.12328e-07
393,98500.0,2.10344e-07
394,98750.0,1.69149e-07
395,99000.0,2.76313e-07
396,99250.0,1.35746e-07
397,99500.0,1.25325e-07
398,99750.0,2.41001e-07
399,100000.0,7.69458e-07
